Part Name,Description
"2312V WTRL 1/2"" PLEN TRUNK","75 Ohm P3® 500 JCAP 1/2"" Plenum Trunk and Distribution Cable, white flame retardant PVC jacket"
P3® 750 JCAT G,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with co-extruded blue stripes"
POWER FEEDER® 625 JCAT 3R,"23 Ohm Power Feeder® Trunk and Distribution Cable, black PE jacket with three co-extruded red stripes"
P3® 750 CA,"75 Ohm P3® Trunk and Distribution Cable, unjacketed"
P3® 750 JCASS,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket, flooded for underground"
P3® 625 JCAM109,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with integrated Figure 8 self supporting galvanized solid steel messenger"
P3® 750 JCASP SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with aerial floodant"
P3® 625 JCAT 3G AJ,"75 Ohm P3® Trunk and Distribution Cable, black PE alternative jacket with three co-extruded green stripes"
QR® 860 JCA,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket"
QR® 715 JCASS SM MT,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket, flooded for underground"
QR® 715 JCA,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket"
QR® 860 JCASST O,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with co-extruded orange stripes, flooded for underground"
QR® 715 JCASST G,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with co-extruded green stripes, flooded for underground"
QR® 540 JCASP,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with aerial floodant"
QR® 540 JCASS,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket, flooded for underground"
QR® 860 JCASP,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with aerial floodant"
P3® 875 JCASST B,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with co-extruded blue stripes, flooded for underground"
QR® 540 JCASST B,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with co-extruded blue stripes, flooded for underground"
QR® 540 JCA GREY SM MT,"75 Ohm QR® Trunk and Distribution Cable, Gray PE jacket"
QR® 540 JCAT 3G AJ SM,"75 Ohm QR® Trunk and Distribution Cable, black PE alternate jacket with three co-extruded green stripes"
P3® 500 JCAR,"75 Ohm P3® Trunk and Distribution Cable, black flame retardant PE jacket"
P3® 875 CA,"75 Ohm P3® Trunk and Distribution Cable, unjacketed"
P3® 500 JCASS,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket, flooded for underground"
P3® 500  JCAM109,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with integrated figure 8 self-supporting galvanized solid steel messenger"
P3® 625 JCASST W,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with co-extruded white stripes, flooded for underground"
P3® 875 JCAT 3G AJ,"75 Ohm P3® Trunk and Distribution Cable, black PE alternative jacket with three co-extruded green stripes"
POWER FEEDER® 625 JCAT 3R SM MT,"23 Ohm Power Feeder® Trunk and Distribution Cable, black PE jacket with three co-extruded red stripes"
P3® 875 JCASP,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket with aerial floodant"
P3® 840 JCASS,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket, flooded for underground"
P3® 750 JCAT 3G AJ,"75 Ohm P3® Trunk and Distribution Cable, black PE alternative jacket with three co-extruded green stripes"
P3® 500 JCAR,"75 Ohm P3® Trunk and Distribution Cable, black flame retardant PE jacket"
P3® 500 JCAT 3G AJ,"75 Ohm P3® Trunk and Distribution Cable, black PE alternative jacket with three co-extruded green stripes"
QR® 540 JCAM109 SM MT,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket with integrated figure 8 self-supporting galvanized solid steel messenger"
QR® 860 JCASS,"75 Ohm QR® Trunk and Distribution Cable, black PE jacket, flooded for underground"
QR® 540 JCAR SM MT,"75 Ohm QR® Trunk and Distribution Cable, black flame retardant PE jacket"
P3® 875 JCASS,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket, flooded for underground"
P3® 750 JCASS SM MT,"75 Ohm P3® Trunk and Distribution Cable, black PE jacket, flooded for underground"
